name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Actinobacteria	1760	C	18100988	0.32717	14058478	0.37656	25553679	0.48094	13397619	0.34980	11691116	0.24766	14031630	0.37019
Coriobacteriia	84998	C	123971	0.00224	306870	0.00822	385859	0.00726	655657	0.01712	486425	0.01030	157404	0.00415
Nitriliruptoria	908620	C	859	0.00002	788	0.00002	975	0.00002	447	0.00001	647	0.00001	763	0.00002
Thermoleophilia	1497346	C	401	0.00001	416	0.00001	459	0.00001	316	0.00001	387	0.00001	329	0.00001
Rubrobacteria	84995	C	439	0.00001	582	0.00002	537	0.00001	258	0.00001	307	0.00001	370	0.00001
Acidimicrobiia	84992	C	67	0.00000	88	0.00000	47	0.00000	52	0.00000	8239	0.00017	66	0.00000
Negativicutes	909932	C	8161568	0.14752	4122845	0.11043	373691	0.00703	6978674	0.18220	7144928	0.15136	5474809	0.14444
Bacilli	91061	C	5549465	0.10030	2504750	0.06709	7042443	0.13254	3395890	0.08866	4999666	0.10591	3082263	0.08132
Clostridia	186801	C	152487	0.00276	127232	0.00341	115038	0.00217	87440	0.00228	124052	0.00263	93087	0.00246
Tissierellia	1737404	C	10274	0.00019	8660	0.00023	4373	0.00008	22036	0.00058	16790	0.00036	7452	0.00020
Erysipelotrichia	526524	C	1285	0.00002	913	0.00002	1059	0.00002	1669	0.00004	1515	0.00003	1027	0.00003
Limnochordia	1676648	C	8940	0.00016	6270	0.00017	414	0.00001	5423	0.00014	315	0.00001	5754	0.00015
Gloeobacteria	307596	C	763	0.00001	567	0.00002	417	0.00001	436	0.00001	550	0.00001	481	0.00001
Deinococci	188787	C	4092	0.00007	4007	0.00011	3654	0.00007	2179	0.00006	3276	0.00007	3303	0.00009
Mollicutes	31969	C	3908	0.00007	2199	0.00006	1527	0.00003	2660	0.00007	3870	0.00008	2589	0.00007
Chloroflexia	32061	C	343	0.00001	345	0.00001	264	0.00000	218	0.00001	280	0.00001	279	0.00001
Dehalococcoidia	301297	C	388	0.00001	420	0.00001	279	0.00001	432	0.00001	430	0.00001	371	0.00001
Anaerolineae	292625	C	271	0.00000	273	0.00001	3616	0.00007	116	0.00000	373	0.00001	224	0.00001
Thermomicrobia	189775	C	203	0.00000	238	0.00001	201	0.00000	192	0.00001	210	0.00000	191	0.00001
Ardenticatenia	1382928	C	193	0.00000	130	0.00000	173	0.00000	139	0.00000	118	0.00000	113	0.00000
Ktedonobacteria	388447	C	137	0.00000	130	0.00000	4088	0.00008	74	0.00000	111	0.00000	122	0.00000
Caldilineae	475962	C	131	0.00000	108	0.00000	135	0.00000	79	0.00000	123	0.00000	86	0.00000
Chthonomonadetes	1077257	C	186	0.00000	165	0.00000	125	0.00000	123	0.00000	118	0.00000	123	0.00000
Fimbriimonadia	1663419	C	182	0.00000	127	0.00000	66	0.00000	99	0.00000	142	0.00000	131	0.00000
Flavobacteriia	117743	C	5301860	0.09583	862595	0.02310	941267	0.01772	1587564	0.04145	2660018	0.05635	2502447	0.06602
Bacteroidia	200643	C	2371451	0.04286	3754572	0.10057	286213	0.00539	3263435	0.08520	3070225	0.06504	2477641	0.06537
Cytophagia	768503	C	17441	0.00032	10764	0.00029	3928	0.00007	10729	0.00028	13421	0.00028	11549	0.00030
