name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Actinomycetaceae	2049	F	10258702	0.18542	9815397	0.26291	16174627	0.30430	9294876	0.24268	7230968	0.15318	8296473	0.21888
Corynebacteriaceae	1653	F	3236962	0.05851	2836124	0.07597	641541	0.01207	1264892	0.03303	2100456	0.04450	2488669	0.06566
Mycobacteriaceae	1762	F	23217	0.00042	20055	0.00054	39382	0.00074	13179	0.00034	18056	0.00038	18523	0.00049
Nocardiaceae	85025	F	20788	0.00038	18363	0.00049	31729	0.00060	12355	0.00032	16170	0.00034	16936	0.00045
Gordoniaceae	85026	F	7588	0.00014	6285	0.00017	11498	0.00022	4313	0.00011	5895	0.00012	5973	0.00016
Dietziaceae	85029	F	3255	0.00006	2796	0.00007	9052	0.00017	1898	0.00005	2372	0.00005	2706	0.00007
Tsukamurellaceae	85028	F	2572	0.00005	1796	0.00005	2938	0.00006	1101	0.00003	1568	0.00003	1703	0.00004
Segniliparaceae	316606	F	534	0.00001	783	0.00002	741	0.00001	669	0.00002	788	0.00002	887	0.00002
Micrococcaceae	1268	F	2201542	0.03979	378974	0.01015	5520566	0.10386	1686475	0.04403	1381217	0.02926	1804880	0.04762
Microbacteriaceae	85023	F	58735	0.00106	59722	0.00160	81153	0.00153	33624	0.00088	49628	0.00105	49278	0.00130
Dermabacteraceae	85020	F	13727	0.00025	14406	0.00039	19654	0.00037	8414	0.00022	11636	0.00025	11555	0.00030
Intrasporangiaceae	85021	F	12753	0.00023	12922	0.00035	18196	0.00034	7189	0.00019	10865	0.00023	10576	0.00028
Promicromonosporaceae	85017	F	12686	0.00023	14457	0.00039	17077	0.00032	6997	0.00018	11302	0.00024	11022	0.00029
Bogoriellaceae	145358	F	12315	0.00022	13616	0.00036	15333	0.00029	6779	0.00018	10976	0.00023	10639	0.00028
Brevibacteriaceae	85019	F	10353	0.00019	6913	0.00019	10760	0.00020	4522	0.00012	8627	0.00018	7893	0.00021
Cellulomonadaceae	85016	F	8947	0.00016	11454	0.00031	11043	0.00021	5386	0.00014	8941	0.00019	8450	0.00022
Beutenbergiaceae	125316	F	4168	0.00008	4788	0.00013	5862	0.00011	2203	0.00006	3831	0.00008	3627	0.00010
Dermacoccaceae	145357	F	3788	0.00007	3564	0.00010	4783	0.00009	2412	0.00006	2978	0.00006	3025	0.00008
Dermatophilaceae	85018	F	1831	0.00003	1643	0.00004	3362	0.00006	846	0.00002	1529	0.00003	1379	0.00004
Sanguibacteraceae	145360	F	1885	0.00003	2108	0.00006	2741	0.00005	959	0.00003	1665	0.00004	1719	0.00005
Jonesiaceae	85022	F	431	0.00001	340	0.00001	617	0.00001	279	0.00001	296	0.00001	339	0.00001
Propionibacteriaceae	31957	F	2039108	0.03686	677224	0.01814	2675380	0.05033	946629	0.02472	673656	0.01427	1141404	0.03011
Nocardioidaceae	85015	F	20738	0.00037	18625	0.00050	33145	0.00062	11459	0.00030	17285	0.00037	16759	0.00044
Streptomycetaceae	2062	F	74894	0.00135	70335	0.00188	114497	0.00215	40900	0.00107	60906	0.00129	60583	0.00160
Pseudonocardiaceae	2070	F	19007	0.00034	16740	0.00045	31137	0.00059	10561	0.00028	15617	0.00033	15091	0.00040
Micromonosporaceae	28056	F	14929	0.00027	13498	0.00036	24548	0.00046	7975	0.00021	12560	0.00027	11798	0.00031
Bifidobacteriaceae	31953	F	11540	0.00021	12676	0.00034	15143	0.00028	7184	0.00019	10118	0.00021	9855	0.00026
Nocardiopsaceae	83676	F	3881	0.00007	3494	0.00009	6122	0.00012	1930	0.00005	3314	0.00007	3220	0.00008
Streptosporangiaceae	2004	F	3201	0.00006	3231	0.00009	4872	0.00009	1812	0.00005	2743	0.00006	2805	0.00007
Thermomonosporaceae	2012	F	1380	0.00002	1380	0.00004	2057	0.00004	797	0.00002	1379	0.00003	1246	0.00003
Frankiaceae	74712	F	4049	0.00007	4087	0.00011	6083	0.00011	2277	0.00006	3806	0.00008	3505	0.00009
Geodermatophilaceae	85030	F	2288	0.00004	2191	0.00006	3789	0.00007	1213	0.00003	1898	0.00004	1880	0.00005
Jiangellaceae	1217100	F	1932	0.00003	1990	0.00005	2976	0.00006	1013	0.00003	1736	0.00004	1509	0.00004
Nakamurellaceae	85031	F	1576	0.00003	1366	0.00004	2949	0.00006	877	0.00002	1351	0.00003	1210	0.00003
Kineosporiaceae	83778	F	1128	0.00002	1158	0.00003	4189	0.00008	747	0.00002	1205	0.00003	963	0.00003
Catenulisporaceae	414877	F	1695	0.00003	1694	0.00005	1135	0.00002	1160	0.00003	1583	0.00003	1406	0.00004
Glycomycetaceae	85034	F	767	0.00001	536	0.00001	1144	0.00002	414	0.00001	536	0.00001	600	0.00002
Actinopolysporaceae	622451	F	1362	0.00002	1026	0.00003	859	0.00002	678	0.00002	977	0.00002	932	0.00002
Candidatus Nanopelagicaceae	2162846	F	423	0.00001	403	0.00001	534	0.00001	434	0.00001	426	0.00001	333	0.00001
Acidothermaceae	85032	F	291	0.00001	300	0.00001	431	0.00001	169	0.00000	236	0.00000	260	0.00001
Atopobiaceae	1643824	F	120089	0.00217	302041	0.00809	381483	0.00718	644032	0.01682	482854	0.01023	153262	0.00404
Coriobacteriaceae	84107	F	1155	0.00002	1423	0.00004	1748	0.00003	877	0.00002	1003	0.00002	1174	0.00003
Eggerthellaceae	1643826	F	2726	0.00005	3405	0.00009	2627	0.00005	10747	0.00028	2567	0.00005	2967	0.00008
Egibacteraceae	1747769	F	346	0.00001	217	0.00001	257	0.00000	174	0.00000	209	0.00000	296	0.00001
Euzebyaceae	908622	F	302	0.00001	319	0.00001	452	0.00001	157	0.00000	268	0.00001	276	0.00001
Egicoccaceae	1755824	F	209	0.00000	251	0.00001	265	0.00000	116	0.00000	169	0.00000	189	0.00000
Conexibacteraceae	320583	F	401	0.00001	416	0.00001	459	0.00001	316	0.00001	387	0.00001	329	0.00001
Rubrobacteraceae	84997	F	439	0.00001	582	0.00002	537	0.00001	258	0.00001	307	0.00001	370	0.00001
Acidimicrobiaceae	84994	F	67	0.00000	88	0.00000	47	0.00000	52	0.00000	62	0.00000	66	0.00000
Veillonellaceae	31977	F	6938457	0.12541	845071	0.02264	142533	0.00268	5986956	0.15631	6325029	0.13399	3867117	0.10202
Selenomonadaceae	1843491	F	1221980	0.02209	3276124	0.08775	230732	0.00434	990653	0.02586	818710	0.01734	1606698	0.04239
Sporomusaceae	1843490	F	412	0.00001	502	0.00001	140	0.00000	420	0.00001	435	0.00001	324	0.00001
Acidaminococcaceae	909930	F	718	0.00001	1147	0.00003	283	0.00001	643	0.00002	752	0.00002	667	0.00002
Streptococcaceae	1300	F	5400684	0.09762	2371860	0.06353	6868391	0.12922	3268589	0.08534	4847596	0.10269	2991182	0.07891
Lactobacillaceae	33958	F	8931	0.00016	5788	0.00016	14969	0.00028	7870	0.00021	7465	0.00016	5502	0.00015
Enterococcaceae	81852	F	8181	0.00015	30313	0.00081	46319	0.00087	7505	0.00020	6945	0.00015	4850	0.00013
Carnobacteriaceae	186828	F	3205	0.00006	1769	0.00005	9448	0.00018	3330	0.00009	2546	0.00005	1889	0.00005
Aerococcaceae	186827	F	2426	0.00004	1470	0.00004	7160	0.00013	2711	0.00007	1763	0.00004	1336	0.00004
Leuconostocaceae	81850	F	1577	0.00003	988	0.00003	2214	0.00004	41088	0.00107	1209	0.00003	957	0.00003
Staphylococcaceae	90964	F	90153	0.00163	57511	0.00154	60182	0.00113	39019	0.00102	100139	0.00212	54417	0.00144
Bacillaceae	186817	F	19116	0.00035	20013	0.00054	18802	0.00035	13727	0.00036	18794	0.00040	10750	0.00028
Paenibacillaceae	186822	F	9819	0.00018	10650	0.00029	6387	0.00012	7405	0.00019	8519	0.00018	7492	0.00020
Planococcaceae	186818	F	2262	0.00004	1752	0.00005	4266	0.00008	1950	0.00005	1993	0.00004	1572	0.00004
Alicyclobacillaceae	186823	F	1264	0.00002	1349	0.00004	807	0.00002	748	0.00002	971	0.00002	1011	0.00003
Listeriaceae	186820	F	1281	0.00002	708	0.00002	2280	0.00004	1419	0.00004	1209	0.00003	838	0.00002
Thermoactinomycetaceae	186824	F	404	0.00001	398	0.00001	582	0.00001	343	0.00001	349	0.00001	325	0.00001
Sporolactobacillaceae	186821	F	154	0.00000	174	0.00000	103	0.00000	179	0.00000	161	0.00000	135	0.00000
Lachnospiraceae	186803	F	107533	0.00194	67914	0.00182	78066	0.00147	49821	0.00130	78714	0.00167	59507	0.00157
Clostridiaceae	31979	F	13091	0.00024	8157	0.00022	5625	0.00011	8385	0.00022	11811	0.00025	8523	0.00022
Clostridiales Family XIII. Incertae Sedis	543314	F	8627	0.00016	24516	0.00066	12239	0.00023	11952	0.00031	10830	0.00023	6248	0.00016
Clostridiales Family XVII. Incertae Sedis	539000	F	420	0.00001	396	0.00001	268	0.00001	233	0.00001	313	0.00001	297	0.00001
Clostridiales Family XVI. Incertae Sedis	543347	F	99	0.00000	139	0.00000	116	0.00000	69	0.00000	72	0.00000	85	0.00000
Ruminococcaceae	541000	F	5201	0.00009	8799	0.00024	2587	0.00005	3604	0.00009	4721	0.00010	5364	0.00014
