name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Actinomyces	1654	G	9839050	0.17785	9372257	0.25105	15012969	0.28255	8787241	0.22944	6849559	0.14511	7892153	0.20823
Schaalia	2529408	G	400553	0.00724	425081	0.01139	1145182	0.02155	497279	0.01298	363721	0.00771	385941	0.01018
Flaviflexus	1522056	G	5650	0.00010	5717	0.00015	5352	0.00010	2961	0.00008	5381	0.00011	5350	0.00014
Trueperella	1069494	G	4568	0.00008	4787	0.00013	4398	0.00008	2664	0.00007	4432	0.00009	4523	0.00012
Actinobaculum	76833	G	3607	0.00007	3676	0.00010	3166	0.00006	1871	0.00005	3935	0.00008	3706	0.00010
Arcanobacterium	28263	G	2944	0.00005	1563	0.00004	1188	0.00002	1671	0.00004	1710	0.00004	2695	0.00007
Actinotignum	1653174	G	1714	0.00003	1669	0.00004	1850	0.00003	830	0.00002	1705	0.00004	1567	0.00004
Mobiluncus	2050	G	612	0.00001	645	0.00002	526	0.00001	355	0.00001	521	0.00001	535	0.00001
Corynebacterium	1716	G	3236963	0.05851	2836124	0.07597	641546	0.01207	1264892	0.03303	2100456	0.04450	2488669	0.06566
Mycobacterium	1763	G	10103	0.00018	10211	0.00027	17950	0.00034	6816	0.00018	8872	0.00019	8912	0.00024
Mycolicibacterium	1866885	G	9572	0.00017	6708	0.00018	15992	0.00030	4357	0.00011	6090	0.00013	6516	0.00017
Mycobacteroides	670516	G	2358	0.00004	2014	0.00005	3667	0.00007	1340	0.00003	2076	0.00004	2030	0.00005
Mycolicibacter	1073531	G	933	0.00002	852	0.00002	1330	0.00003	469	0.00001	796	0.00002	817	0.00002
Hoyosella	697025	G	249	0.00000	268	0.00001	442	0.00001	194	0.00001	219	0.00000	246	0.00001
Rhodococcus	1827	G	12993	0.00023	11673	0.00031	19426	0.00037	8050	0.00021	9871	0.00021	10489	0.00028
Nocardia	1817	G	7795	0.00014	6690	0.00018	12303	0.00023	4305	0.00011	6298	0.00013	6446	0.00017
Gordonia	2053	G	7588	0.00014	6285	0.00017	11498	0.00022	4313	0.00011	5895	0.00012	5973	0.00016
Dietzia	37914	G	3255	0.00006	2796	0.00007	5867	0.00011	1898	0.00005	2372	0.00005	2706	0.00007
Tsukamurella	2060	G	2024	0.00004	1796	0.00005	2938	0.00006	1101	0.00003	1568	0.00003	1703	0.00004
Lawsonella	1847725	G	548	0.00001	304	0.00001	3185	0.00006	325	0.00001	343	0.00001	432	0.00001
Segniliparus	286801	G	534	0.00001	478	0.00001	741	0.00001	344	0.00001	445	0.00001	455	0.00001
Rothia	32207	G	2164727	0.03913	342230	0.00917	5470669	0.10296	1665191	0.04348	1351092	0.02862	1773916	0.04680
Arthrobacter	1663	G	13421	0.00024	12793	0.00034	18377	0.00035	7742	0.00020	10515	0.00022	11290	0.00030
Kocuria	57493	G	10278	0.00019	10534	0.00028	14949	0.00028	5635	0.00015	8783	0.00019	8419	0.00022
Micrococcus	1269	G	3266	0.00006	3402	0.00009	2980	0.00006	2664	0.00007	2766	0.00006	3183	0.00008
Pseudarthrobacter	1742993	G	2650	0.00005	2487	0.00007	4230	0.00008	1408	0.00004	2047	0.00004	2159	0.00006
Glutamicibacter	1742989	G	2363	0.00004	2093	0.00006	3842	0.00007	1331	0.00003	1865	0.00004	1932	0.00005
Sinomonas	596707	G	1537	0.00003	1759	0.00005	1739	0.00003	910	0.00002	1406	0.00003	1411	0.00004
Citricoccus	169133	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Zhihengliuella	370735	G	1521	0.00003	2348	0.00006	1430	0.00003	687	0.00002	1543	0.00003	1153	0.00003
Auritidibacter	1160973	G	474	0.00001	384	0.00001	642	0.00001	218	0.00001	338	0.00001	361	0.00001
Renibacterium	1645	G	409	0.00001	196	0.00001	347	0.00001	205	0.00001	241	0.00001	269	0.00001
Neomicrococcus	1868332	G	331	0.00001	218	0.00001	500	0.00001	150	0.00000	220	0.00000	254	0.00001
Psychromicrobium	2078575	G	241	0.00000	188	0.00001	517	0.00001	178	0.00000	179	0.00000	197	0.00001
Paenarthrobacter	1742992	G	317	0.00001	337	0.00001	338	0.00001	150	0.00000	215	0.00000	329	0.00001
Microbacterium	33882	G	23717	0.00043	24593	0.00066	34867	0.00066	13407	0.00035	19650	0.00042	19484	0.00051
Agromyces	33877	G	4541	0.00008	4431	0.00012	5444	0.00010	2541	0.00007	3853	0.00008	4003	0.00011
Rathayibacter	33886	G	3273	0.00006	3254	0.00009	4688	0.00009	1913	0.00005	2631	0.00006	2760	0.00007
Leifsonia	110932	G	2888	0.00005	2728	0.00007	4847	0.00009	1602	0.00004	2514	0.00005	2369	0.00006
Clavibacter	1573	G	2357	0.00004	2644	0.00007	3634	0.00007	1334	0.00003	2188	0.00005	1965	0.00005
Cryobacterium	69578	G	2222	0.00004	2135	0.00006	2778	0.00005	1295	0.00003	1713	0.00004	1763	0.00005
Curtobacterium	2034	G	2217	0.00004	2168	0.00006	3846	0.00007	1184	0.00003	2121	0.00004	1793	0.00005
Agrococcus	46352	G	2242	0.00004	2681	0.00007	2510	0.00005	1495	0.00004	2174	0.00005	2048	0.00005
Leucobacter	55968	G	1965	0.00004	1992	0.00005	2601	0.00005	1105	0.00003	1767	0.00004	1710	0.00005
Frondihabitans	447237	G	1811	0.00003	1797	0.00005	2459	0.00005	1013	0.00003	1550	0.00003	1634	0.00004
Plantibacter	190323	G	1568	0.00003	1497	0.00004	1726	0.00003	748	0.00002	1184	0.00003	1172	0.00003
Microterricola	518733	G	1314	0.00002	1249	0.00003	1845	0.00003	743	0.00002	1035	0.00002	1030	0.00003
Lysinimonas	1434018	G	1092	0.00002	1156	0.00003	1110	0.00002	726	0.00002	980	0.00002	968	0.00003
Salinibacterium	235888	G	922	0.00002	827	0.00002	1224	0.00002	457	0.00001	685	0.00001	753	0.00002
Microcella	337004	G	807	0.00001	822	0.00002	884	0.00002	555	0.00001	616	0.00001	731	0.00002
Rhodoluna	529883	G	423	0.00001	289	0.00001	444	0.00001	254	0.00001	297	0.00001	364	0.00001
Candidatus Aquiluna	529881	G	184	0.00000	120	0.00000	275	0.00001	63	0.00000	133	0.00000	89	0.00000
Gryllotalpicola	1195526	G	617	0.00001	667	0.00002	666	0.00001	318	0.00001	506	0.00001	511	0.00001
Mycetocola	76634	G	476	0.00001	414	0.00001	505	0.00001	226	0.00001	392	0.00001	406	0.00001
Aurantimicrobium	1705353	G	280	0.00001	263	0.00001	428	0.00001	171	0.00000	209	0.00000	242	0.00001
Cnuibacter	1759331	G	1877	0.00003	2403	0.00006	1908	0.00004	1406	0.00004	1836	0.00004	1862	0.00005
Humibacter	427753	G	1862	0.00003	1559	0.00004	2309	0.00004	1027	0.00003	1532	0.00003	1562	0.00004
Pontimonas	1434032	G	68	0.00000	20	0.00000	143	0.00000	30	0.00000	52	0.00000	49	0.00000
Brachybacterium	43668	G	11857	0.00021	12736	0.00034	17339	0.00033	7301	0.00019	10329	0.00022	10058	0.00027
Dermabacter	36739	G	1262	0.00002	1242	0.00003	1177	0.00002	769	0.00002	862	0.00002	1044	0.00003
Devriesea	472568	G	607	0.00001	427	0.00001	1137	0.00002	344	0.00001	444	0.00001	452	0.00001
Ornithinimicrobium	125287	G	3977	0.00007	4146	0.00011	5461	0.00010	2219	0.00006	3419	0.00007	3265	0.00009
Serinicoccus	265976	G	2391	0.00004	2583	0.00007	3147	0.00006	1450	0.00004	2044	0.00004	2024	0.00005
Janibacter	53457	G	1948	0.00004	1923	0.00005	3247	0.00006	1073	0.00003	1676	0.00004	1631	0.00004
Arsenicicoccus	267408	G	1849	0.00003	1684	0.00005	2628	0.00005	961	0.00003	1542	0.00003	1526	0.00004
Intrasporangium	53357	G	1401	0.00003	1408	0.00004	1944	0.00004	870	0.00002	1112	0.00002	1126	0.00003
Phycicoccus	367298	G	1186	0.00002	1175	0.00003	1768	0.00003	614	0.00002	1069	0.00002	1002	0.00003
Isoptericola	254250	G	3739	0.00007	4318	0.00012	5520	0.00010	2060	0.00005	3012	0.00006	3082	0.00008
Cellulosimicrobium	157920	G	3107	0.00006	3739	0.00010	3919	0.00007	1720	0.00004	2833	0.00006	2727	0.00007
Xylanibacterium	228972	G	2085	0.00004	2098	0.00006	2813	0.00005	1036	0.00003	1959	0.00004	1776	0.00005
Xylanimonas	186188	G	2067	0.00004	2100	0.00006	2728	0.00005	1142	0.00003	1827	0.00004	1716	0.00005
Xylanimicrobium	289244	G	1687	0.00003	2201	0.00006	2094	0.00004	1036	0.00003	1669	0.00004	1718	0.00005
Georgenia	154116	G	12315	0.00022	13616	0.00036	15333	0.00029	6779	0.00018	10976	0.00023	10639	0.00028
Brevibacterium	1696	G	10353	0.00019	6913	0.00019	10760	0.00020	4522	0.00012	8627	0.00018	7893	0.00021
Cellulomonas	1707	G	7524	0.00014	9749	0.00026	9288	0.00017	4505	0.00012	7467	0.00016	7047	0.00019
Paraoerskovia	665568	G	1422	0.00003	1704	0.00005	1754	0.00003	881	0.00002	1473	0.00003	1403	0.00004
Beutenbergia	84756	G	2130	0.00004	2203	0.00006	2263	0.00004	1041	0.00003	1763	0.00004	1736	0.00005
Miniimonas	947525	G	2038	0.00004	2584	0.00007	3599	0.00007	1162	0.00003	2067	0.00004	1891	0.00005
Kytococcus	57499	G	1944	0.00004	1770	0.00005	1917	0.00004	1436	0.00004	1498	0.00003	1587	0.00004
Dermacoccus	57495	G	1121	0.00002	1003	0.00003	1528	0.00003	647	0.00002	886	0.00002	868	0.00002
Luteipulveratus	745364	G	722	0.00001	790	0.00002	1337	0.00003	327	0.00001	593	0.00001	569	0.00002
Austwickia	1184606	G	1114	0.00002	1025	0.00003	2204	0.00004	538	0.00001	956	0.00002	886	0.00002
Dermatophilus	1862	G	717	0.00001	617	0.00002	1157	0.00002	307	0.00001	572	0.00001	492	0.00001
Sanguibacter	60919	G	1885	0.00003	2108	0.00006	2741	0.00005	959	0.00003	1665	0.00004	1719	0.00005
Jonesia	43673	G	431	0.00001	340	0.00001	617	0.00001	279	0.00001	296	0.00001	326	0.00001
Tropheryma	2038	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000
Pseudopropionibacterium	1912217	G	1991114	0.03599	644031	0.01725	2557503	0.04813	924034	0.02413	631568	0.01338	1105711	0.02917
Tessaracoccus	72763	G	16899	0.00031	7467	0.00020	48459	0.00091	6964	0.00018	15489	0.00033	11509	0.00030
Propionibacterium	1743	G	12851	0.00023	10965	0.00029	28593	0.00054	6339	0.00017	10663	0.00023	9955	0.00026
Acidipropionibacterium	1912215	G	9026	0.00016	7568	0.00020	18320	0.00034	4476	0.00012	8020	0.00017	7198	0.00019
Cutibacterium	1912216	G	5336	0.00010	4499	0.00012	13293	0.00025	2934	0.00008	4546	0.00010	4066	0.00011
Microlunatus	29404	G	2123	0.00004	1470	0.00004	4723	0.00009	1108	0.00003	1701	0.00004	1603	0.00004
Auraticoccus	1278221	G	1317	0.00002	974	0.00003	3240	0.00006	590	0.00002	1291	0.00003	1006	0.00003
Propionimicrobium	203133	G	440	0.00001	247	0.00001	1249	0.00002	180	0.00000	375	0.00001	353	0.00001
Nocardioides	1839	G	9871	0.00018	8835	0.00024	14569	0.00027	5579	0.00015	8271	0.00018	8061	0.00021
Aeromicrobium	2040	G	4435	0.00008	3789	0.00010	6713	0.00013	2391	0.00006	3366	0.00007	3482	0.00009
Friedmanniella	53387	G	1921	0.00003	1690	0.00005	3607	0.00007	987	0.00003	1758	0.00004	1583	0.00004
Micropruina	116071	G	1172	0.00002	911	0.00002	2213	0.00004	616	0.00002	950	0.00002	906	0.00002
Pimelobacter	2044	G	986	0.00002	935	0.00003	1877	0.00004	584	0.00002	870	0.00002	812	0.00002
Kribbella	182639	G	781	0.00001	722	0.00002	1568	0.00003	465	0.00001	704	0.00001	630	0.00002
Marmoricola	86795	G	845	0.00002	1084	0.00003	1417	0.00003	457	0.00001	757	0.00002	702	0.00002
Actinopolymorpha	117156	G	723	0.00001	654	0.00002	1177	0.00002	377	0.00001	606	0.00001	578	0.00002
Streptomyces	1883	G	71819	0.00130	67651	0.00181	109976	0.00207	39272	0.00103	58401	0.00124	58218	0.00154
Kitasatospora	2063	G	2425	0.00004	2094	0.00006	3397	0.00006	1346	0.00004	1982	0.00004	1825	0.00005
Streptacidiphilus	228398	G	650	0.00001	589	0.00002	1123	0.00002	281	0.00001	522	0.00001	539	0.00001
Amycolatopsis	1813	G	3686	0.00007	3105	0.00008	6210	0.00012	2013	0.00005	2818	0.00006	2806	0.00007
Pseudonocardia	1847	G	3979	0.00007	3245	0.00009	6991	0.00013	2020	0.00005	3304	0.00007	3180	0.00008
Saccharomonospora	1851	G	2762	0.00005	2557	0.00007	4434	0.00008	1435	0.00004	2328	0.00005	2213	0.00006
Actinoalloteichus	65496	G	2422	0.00004	2160	0.00006	4025	0.00008	1408	0.00004	2056	0.00004	2078	0.00005
Actinosynnema	40566	G	837	0.00002	766	0.00002	1401	0.00003	481	0.00001	753	0.00002	687	0.00002
Saccharothrix	2071	G	800	0.00001	773	0.00002	1258	0.00002	476	0.00001	619	0.00001	635	0.00002
Kutzneria	43356	G	732	0.00001	691	0.00002	1457	0.00003	425	0.00001	599	0.00001	594	0.00002
Saccharopolyspora	1835	G	702	0.00001	591	0.00002	1229	0.00002	283	0.00001	496	0.00001	506	0.00001
Alloactinosynnema	674734	G	705	0.00001	623	0.00002	599	0.00001	587	0.00002	624	0.00001	509	0.00001
Allokutzneria	1137960	G	686	0.00001	614	0.00002	1168	0.00002	403	0.00001	484	0.00001	572	0.00002
Kibdelosporangium	2029	G	617	0.00001	578	0.00002	777	0.00001	331	0.00001	508	0.00001	471	0.00001
Lentzea	165301	G	557	0.00001	629	0.00002	769	0.00001	446	0.00001	637	0.00001	452	0.00001
Prauserella	142577	G	515	0.00001	401	0.00001	812	0.00002	248	0.00001	384	0.00001	381	0.00001
Micromonospora	1873	G	7988	0.00014	6983	0.00019	13411	0.00025	4038	0.00011	6844	0.00014	6226	0.00016
Actinoplanes	1865	G	4863	0.00009	4535	0.00012	7536	0.00014	2748	0.00007	3989	0.00008	3926	0.00010
Plantactinospora	673534	G	974	0.00002	1064	0.00003	1770	0.00003	575	0.00002	883	0.00002	838	0.00002
Salinispora	168694	G	805	0.00001	648	0.00002	1481	0.00003	434	0.00001	574	0.00001	619	0.00002
Verrucosispora	84593	G	298	0.00001	266	0.00001	348	0.00001	179	0.00000	268	0.00001	187	0.00000
Bifidobacterium	1678	G	10548	0.00019	11725	0.00031	13951	0.00026	6562	0.00017	8982	0.00019	9055	0.00024
