name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Actinomycetales	2037	O	10258702	0.18542	9815397	0.26291	16174627	0.30430	9294876	0.24268	7230968	0.15318	8296473	0.21888
Corynebacteriales	85007	O	3294918	0.05955	2886205	0.07731	736885	0.01386	1298411	0.03390	2145307	0.04545	2535399	0.06689
Micrococcales	85006	O	2343167	0.04235	524913	0.01406	5711151	0.10745	1766092	0.04611	1503496	0.03185	1924387	0.05077
Propionibacteriales	85009	O	2059846	0.03723	695849	0.01864	2708525	0.05096	958088	0.02501	690942	0.01464	1158164	0.03056
Streptomycetales	85011	O	74894	0.00135	70335	0.00188	114497	0.00215	40900	0.00107	60906	0.00129	60583	0.00160
Pseudonocardiales	85010	O	19007	0.00034	16740	0.00045	31137	0.00059	10561	0.00028	15617	0.00033	15091	0.00040
Micromonosporales	85008	O	14929	0.00027	13498	0.00036	24548	0.00046	7975	0.00021	12560	0.00027	11798	0.00031
Bifidobacteriales	85004	O	11540	0.00021	12676	0.00034	15143	0.00028	7184	0.00019	10118	0.00021	9855	0.00026
Streptosporangiales	85012	O	8463	0.00015	8105	0.00022	13052	0.00025	4539	0.00012	7438	0.00016	7272	0.00019
Frankiales	85013	O	4049	0.00007	4087	0.00011	6083	0.00011	2277	0.00006	3806	0.00008	3505	0.00009
Geodermatophilales	1643682	O	2288	0.00004	2191	0.00006	3789	0.00007	1213	0.00003	1898	0.00004	1880	0.00005
Jiangellales	1217098	O	1932	0.00003	1990	0.00005	2976	0.00006	1013	0.00003	1736	0.00004	1509	0.00004
Nakamurellales	1643684	O	1576	0.00003	1366	0.00004	2949	0.00006	877	0.00002	1351	0.00003	1210	0.00003
Kineosporiales	622452	O	1128	0.00002	1158	0.00003	4189	0.00008	747	0.00002	1205	0.00003	963	0.00003
Catenulisporales	414714	O	1695	0.00003	1694	0.00005	1135	0.00002	1160	0.00003	1583	0.00003	1406	0.00004
Glycomycetales	85014	O	767	0.00001	536	0.00001	1144	0.00002	414	0.00001	536	0.00001	600	0.00002
Actinopolysporales	622450	O	1362	0.00002	1026	0.00003	859	0.00002	678	0.00002	977	0.00002	932	0.00002
Candidatus Nanopelagicales	2039638	O	423	0.00001	403	0.00001	534	0.00001	434	0.00001	426	0.00001	333	0.00001
Acidothermales	1643683	O	291	0.00001	300	0.00001	431	0.00001	169	0.00000	236	0.00000	260	0.00001
Coriobacteriales	84999	O	121245	0.00219	303464	0.00813	383232	0.00721	644910	0.01684	483858	0.01025	154437	0.00407
Eggerthellales	1643822	O	2726	0.00005	3405	0.00009	2627	0.00005	10747	0.00028	2567	0.00005	2967	0.00008
Egibacterales	1747768	O	346	0.00001	217	0.00001	257	0.00000	174	0.00000	209	0.00000	296	0.00001
Euzebyales	908621	O	302	0.00001	319	0.00001	452	0.00001	157	0.00000	268	0.00001	276	0.00001
Egicoccales	1755823	O	209	0.00000	251	0.00001	265	0.00000	116	0.00000	169	0.00000	189	0.00000
Solirubrobacterales	588673	O	401	0.00001	416	0.00001	459	0.00001	316	0.00001	387	0.00001	329	0.00001
Rubrobacterales	84996	O	439	0.00001	582	0.00002	537	0.00001	258	0.00001	307	0.00001	370	0.00001
Acidimicrobiales	84993	O	67	0.00000	88	0.00000	47	0.00000	52	0.00000	62	0.00000	66	0.00000
Veillonellales	1843489	O	6938457	0.12541	845071	0.02264	142533	0.00268	5986956	0.15631	6325029	0.13399	3867117	0.10202
Selenomonadales	909929	O	1222393	0.02209	3276626	0.08777	230873	0.00434	991073	0.02588	819146	0.01735	1607023	0.04240
Acidaminococcales	1843488	O	718	0.00001	1147	0.00003	283	0.00001	643	0.00002	752	0.00002	667	0.00002
Lactobacillales	186826	O	5425007	0.09806	2412191	0.06461	6948504	0.13072	3291505	0.08594	4867526	0.10311	3005719	0.07930
Bacillales	1385	O	124457	0.00225	92558	0.00248	93413	0.00176	104384	0.00273	132139	0.00280	76543	0.00202
Clostridiales	186802	O	149406	0.00270	124530	0.00334	113698	0.00214	85178	0.00222	121006	0.00256	90954	0.00240
Thermoanaerobacterales	68295	O	2476	0.00004	2171	0.00006	1077	0.00002	1753	0.00005	2322	0.00005	1693	0.00004
Halanaerobiales	53433	O	554	0.00001	502	0.00001	245	0.00000	377	0.00001	625	0.00001	377	0.00001
Natranaerobiales	485256	O	50	0.00000	29	0.00000	10	0.00000	129	0.00000	98	0.00000	61	0.00000
Tissierellales	1737405	O	10274	0.00019	8660	0.00023	4373	0.00008	22036	0.00058	16790	0.00036	7452	0.00020
Erysipelotrichales	526525	O	1285	0.00002	913	0.00002	1059	0.00002	1669	0.00004	1515	0.00003	1027	0.00003
Limnochordales	1676649	O	644	0.00001	661	0.00002	414	0.00001	255	0.00001	315	0.00001	530	0.00001
Nostocales	1161	O	3578	0.00006	1764	0.00005	1149	0.00002	2229	0.00006	4151	0.00009	1983	0.00005
Synechococcales	1890424	O	2848	0.00005	2507	0.00007	1977	0.00004	1776	0.00005	2381	0.00005	2090	0.00006
Oscillatoriales	1150	O	1240	0.00002	729	0.00002	596	0.00001	756	0.00002	970	0.00002	748	0.00002
Chroococcales	1118	O	628	0.00001	607	0.00002	299	0.00001	406	0.00001	674	0.00001	401	0.00001
Gloeobacterales	307595	O	328	0.00001	224	0.00001	297	0.00001	150	0.00000	226	0.00000	215	0.00001
Pleurocapsales	52604	O	216	0.00000	178	0.00000	56	0.00000	123	0.00000	129	0.00000	113	0.00000
Chroococcidiopsidales	1890505	O	180	0.00000	150	0.00000	30	0.00000	136	0.00000	120	0.00000	114	0.00000
Gloeoemargaritales	1955042	O	38	0.00000	13	0.00000	33	0.00000	26	0.00000	73	0.00000	38	0.00000
