name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Actinobacteria	201174	P	18226727	0.32946	14367225	0.38485	25941558	0.48823	14054351	0.36696	12178946	0.25802	14190565	0.37441
Firmicutes	1239	P	13875820	0.25082	6765173	0.18122	7537020	0.14185	10486023	0.27379	12287388	0.26032	8659230	0.22847
Cyanobacteria	1117	P	9059	0.00016	6176	0.00017	4440	0.00008	5604	0.00015	8728	0.00018	5705	0.00015
Deinococcus-Thermus	1297	P	4092	0.00007	4007	0.00011	3654	0.00007	2179	0.00006	3276	0.00007	3303	0.00009
Tenericutes	544448	P	3908	0.00007	2199	0.00006	1527	0.00003	2660	0.00007	3870	0.00008	2589	0.00007
Chloroflexi	200795	P	1669	0.00003	1647	0.00004	4734	0.00009	1252	0.00003	1648	0.00003	1391	0.00004
Armatimonadetes	67819	P	368	0.00001	292	0.00001	191	0.00000	222	0.00001	260	0.00001	254	0.00001
Bacteroidetes	976	P	7702135	0.13922	4634578	0.12415	1234610	0.02324	4869340	0.12714	5753271	0.12189	4999103	0.13190
Chlorobi	1090	P	1667	0.00003	1783	0.00005	706	0.00001	1115	0.00003	1514	0.00003	1334	0.00004
Balneolaeota	1936987	P	349	0.00001	209	0.00001	58	0.00000	244	0.00001	208	0.00000	223	0.00001
Ignavibacteriae	1134404	P	126	0.00000	149	0.00000	101	0.00000	95	0.00000	143	0.00000	92	0.00000
Fibrobacteres	65842	P	509	0.00001	342	0.00001	47	0.00000	283	0.00001	393	0.00001	282	0.00001
Gemmatimonadetes	142182	P	450	0.00001	607	0.00002	351	0.00001	395	0.00001	405	0.00001	385	0.00001
Candidatus Cloacimonetes	456828	P	109	0.00000	85	0.00000	38	0.00000	101	0.00000	70	0.00000	54	0.00000
Proteobacteria	1224	P	6793408	0.12280	2685210	0.07193	10829843	0.20382	3798969	0.09919	5671510	0.12016	3668583	0.09679
Fusobacteria	32066	P	878505	0.01588	242005	0.00648	125706	0.00237	420570	0.01098	725672	0.01537	467954	0.01235
Candidatus Saccharibacteria	95818	P	365338	0.00660	334984	0.00897	194815	0.00367	389930	0.01018	241916	0.00513	162492	0.00429
Candidatus Gracilibacteria	363464	P	1503	0.00003	649	0.00002	164	0.00000	640	0.00002	569	0.00001	643	0.00002
Candidatus Bipolaricaulota	67810	P	136	0.00000	122	0.00000	114	0.00000	84	0.00000	149	0.00000	125	0.00000
Spirochaetes	203691	P	111137	0.00201	7969	0.00021	12918	0.00024	23169	0.00060	251089	0.00532	12514	0.00033
Verrucomicrobia	74201	P	2877	0.00005	2683	0.00007	1579	0.00003	1889	0.00005	2454	0.00005	2272	0.00006
Planctomycetes	203682	P	1697	0.00003	1555	0.00004	1589	0.00003	1233	0.00003	1387	0.00003	1379	0.00004
Chlamydiae	204428	P	429	0.00001	343	0.00001	292	0.00001	302	0.00001	366	0.00001	261	0.00001
Kiritimatiellaeota	134625	P	187	0.00000	181	0.00000	128	0.00000	59	0.00000	176	0.00000	122	0.00000
Lentisphaerae	256845	P	89	0.00000	157	0.00000	55	0.00000	52	0.00000	111	0.00000	66	0.00000
Acidobacteria	57723	P	1324	0.00002	1552	0.00004	1089	0.00002	1052	0.00003	1272	0.00003	990	0.00003
Thermotogae	200918	P	804	0.00001	626	0.00002	448	0.00001	716	0.00002	903	0.00002	536	0.00001
Nitrospirae	40117	P	719	0.00001	817	0.00002	552	0.00001	424	0.00001	608	0.00001	559	0.00001
Synergistetes	508458	P	530	0.00001	464	0.00001	915	0.00002	330	0.00001	479	0.00001	417	0.00001
Aquificae	200783	P	411	0.00001	211	0.00001	152	0.00000	301	0.00001	412	0.00001	329	0.00001
Deferribacteres	200930	P	393	0.00001	272	0.00001	128	0.00000	216	0.00001	408	0.00001	277	0.00001
Chrysiogenetes	200938	P	246	0.00000	144	0.00000	62	0.00000	117	0.00000	113	0.00000	131	0.00000
Elusimicrobia	74152	P	190	0.00000	127	0.00000	44	0.00000	112	0.00000	189	0.00000	109	0.00000
Thermodesulfobacteria	200940	P	177	0.00000	63	0.00000	83	0.00000	145	0.00000	142	0.00000	104	0.00000
Calditrichaeota	1930617	P	75	0.00000	46	0.00000	73	0.00000	59	0.00000	86	0.00000	37	0.00000
Dictyoglomi	68297	P	57	0.00000	32	0.00000	30	0.00000	43	0.00000	62	0.00000	35	0.00000
Caldiserica	67814	P	17	0.00000	11	0.00000	43	0.00000	17	0.00000	26	0.00000	13	0.00000
Coprothermobacterota	2138240	P	14	0.00000	11	0.00000	10	0.00000	16	0.00000	10	0.00000	14	0.00000
Chordata	7711	P	7329431	0.13249	8261821	0.22131	7228354	0.13604	4231924	0.11050	10056485	0.21306	5712880	0.15073
Euryarchaeota	28890	P	4587	0.00008	4419	0.00012	4709	0.00009	2776	0.00007	3722	0.00008	3510	0.00009
Crenarchaeota	28889	P	766	0.00001	658	0.00002	437	0.00001	505	0.00001	618	0.00001	515	0.00001
Thaumarchaeota	651137	P	166	0.00000	52	0.00000	10	0.00000	53	0.00000	74	0.00000	57	0.00000
