name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Actinomyces oris	544580	S	4246180	0.07676	4073581	0.10912	4694560	0.08833	4893650	0.12778	3317090	0.07028	3478307	0.09178
Actinomyces sp. oral taxon 171	706438	S	2020924	0.03653	1443140	0.03866	3996429	0.07519	1394834	0.03642	1108981	0.02349	1658375	0.04376
Actinomyces viscosus	1656	S	1538146	0.02780	893301	0.02393	2160552	0.04065	837981	0.02188	731858	0.01550	1147464	0.03028
Actinomyces sp. oral taxon 897	2081702	S	572443	0.01035	234336	0.00628	218103	0.00410	290781	0.00759	179110	0.00379	309971	0.00818
Actinomyces hongkongensis	178339	S	418972	0.00757	1317886	0.03530	479715	0.00903	584531	0.01526	593868	0.01258	495519	0.01307
Actinomyces sp. oral taxon 414	712122	S	396131	0.00716	859915	0.02304	2393460	0.04503	473861	0.01237	515960	0.01093	318348	0.00840
Actinomyces sp. Chiba101	1851395	S	108515	0.00196	57419	0.00154	109105	0.00205	37119	0.00097	38088	0.00081	76698	0.00202
Actinomyces slackii	52774	S	88999	0.00161	73876	0.00198	144139	0.00271	45293	0.00118	52223	0.00111	64979	0.00171
Actinomyces radicidentis	111015	S	73836	0.00133	70472	0.00189	134234	0.00253	36638	0.00096	49751	0.00105	53005	0.00140
Actinomyces howellii	52771	S	68106	0.00123	67098	0.00180	127900	0.00241	34062	0.00089	46112	0.00098	49246	0.00130
Actinomyces gaoshouyii	1960083	S	55903	0.00101	33289	0.00089	58909	0.00111	21035	0.00055	22380	0.00047	41139	0.00109
Actinomyces sp. Z16	2079536	S	45290	0.00082	43874	0.00118	82103	0.00154	23671	0.00062	30704	0.00065	33040	0.00087
Actinomyces sp. dk561	2560010	S	43972	0.00079	43648	0.00117	78054	0.00147	22253	0.00058	29415	0.00062	31835	0.00084
Actinomyces sp. oral taxon 848	649739	S	36426	0.00066	39256	0.00105	128139	0.00241	19000	0.00050	44775	0.00095	39530	0.00104
Actinomyces sp. 299	2057743	S	36454	0.00066	36908	0.00099	61888	0.00116	21698	0.00057	31033	0.00066	28576	0.00075
Actinomyces sp. 410	2057800	S	31999	0.00058	31072	0.00083	59830	0.00113	17251	0.00045	22134	0.00047	23187	0.00061
Actinomyces sp. 2129	2321394	S	27282	0.00049	22993	0.00062	42731	0.00080	14625	0.00038	16470	0.00035	20397	0.00054
Actinomyces israelii	1659	S	22287	0.00040	20049	0.00054	35608	0.00067	11805	0.00031	13739	0.00029	16140	0.00043
Actinomyces pacaensis	1852377	S	6270	0.00011	9221	0.00025	6588	0.00012	6343	0.00017	5154	0.00011	5658	0.00015
Actinomyces tangfeifanii	1912795	S	930	0.00002	943	0.00003	972	0.00002	814	0.00002	715	0.00002	736	0.00002
Schaalia odontolytica	1660	S	233582	0.00422	234756	0.00629	1104579	0.02078	320052	0.00836	216220	0.00458	218545	0.00577
Schaalia meyeri	52773	S	156574	0.00283	177357	0.00475	28531	0.00054	167243	0.00437	138300	0.00293	156751	0.00414
Schaalia cardiffensis	181487	S	8107	0.00015	10438	0.00028	9576	0.00018	8082	0.00021	7277	0.00015	8455	0.00022
Schaalia radingae	131110	S	2289	0.00004	2531	0.00007	2501	0.00005	1901	0.00005	1923	0.00004	2188	0.00006
Flaviflexus salsibiostraticola	1282737	S	4195	0.00008	4234	0.00011	3509	0.00007	2249	0.00006	4028	0.00009	4013	0.00011
Flaviflexus sp. H23T48	2496867	S	1455	0.00003	1482	0.00004	1842	0.00003	712	0.00002	1353	0.00003	1336	0.00004
Trueperella pyogenes	1661	S	2913	0.00005	3213	0.00009	3317	0.00006	1679	0.00004	3074	0.00007	3005	0.00008
Trueperella bialowiezensis	312285	S	1655	0.00003	1573	0.00004	1081	0.00002	985	0.00003	1357	0.00003	1517	0.00004
Actinobaculum sp. 313	2495645	S	3607	0.00007	3676	0.00010	3166	0.00006	1871	0.00005	3935	0.00008	3706	0.00010
Arcanobacterium haemolyticum	28264	S	2351	0.00004	1165	0.00003	665	0.00001	1332	0.00003	1340	0.00003	2280	0.00006
Arcanobacterium phocae	131112	S	592	0.00001	397	0.00001	523	0.00001	339	0.00001	370	0.00001	415	0.00001
Actinotignum schaalii	59505	S	1714	0.00003	1669	0.00004	1850	0.00003	830	0.00002	1705	0.00004	1567	0.00004
Mobiluncus curtisii	2051	S	612	0.00001	645	0.00002	526	0.00001	355	0.00001	521	0.00001	535	0.00001
