name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Actinomyces sp. oral taxon 171 str. F0337	706439	S1	5931823	0.11876	5554483	0.16886	10061149	0.21624	4251215	0.12825	3278222	0.07122	4571903	0.13591
Actinomyces sp. oral taxon 848 str. F0332	649743	S1	563495	0.01128	622895	0.01894	1963680	0.04221	564670	0.01703	609198	0.01323	638697	0.01899
Schaalia cardiffensis F0333	888050	S1	18437	0.00037	21377	0.00065	20535	0.00044	14130	0.00043	17029	0.00037	18518	0.00055
Trueperella pyogenes TP8	1435056	S1	10638	0.00021	9196	0.00028	7582	0.00016	6004	0.00018	9342	0.00020	10196	0.00030
Mobiluncus curtisii ATCC 43063	548479	S1	3158271	0.06323	2802567	0.08520	2251824	0.04840	428026	0.01291	2060021	0.04475	2436736	0.07244
Corynebacterium argentoratense DSM 44202	1348662	S1	8409	0.00017	697	0.00002	7847	0.00017	1848	0.00006	2091	0.00005	5332	0.00016
Corynebacterium aquilae DSM 44791	1431546	S1	4131	0.00008	1194	0.00004	6878	0.00015	2737	0.00008	993	0.00002	1568	0.00005
Corynebacterium diphtheriae 31A	698962	S1	227	0.00000	112	0.00000	398	0.00001	162	0.00000	115	0.00000	193	0.00001
Corynebacterium diphtheriae BH8	698973	S1	184	0.00000	90	0.00000	342	0.00001	100	0.00000	0	0.00000	136	0.00000
Corynebacterium diphtheriae CDCE 8392	698965	S1	140	0.00000	0	0.00000	101	0.00000	0	0.00000	0	0.00000	0	0.00000
Corynebacterium diphtheriae HC02	698968	S1	116	0.00000	0	0.00000	230	0.00000	84	0.00000	0	0.00000	0	0.00000
Corynebacterium diphtheriae HC04	698970	S1	264	0.00001	0	0.00000	1350	0.00003	184	0.00001	0	0.00000	0	0.00000
Corynebacterium diphtheriae INCA 402	698972	S1	110	0.00000	0	0.00000	365	0.00001	106	0.00000	113	0.00000	117	0.00000
Corynebacterium efficiens YS-314	196164	S1	4223	0.00008	2061	0.00006	3914	0.00008	1259	0.00004	1907	0.00004	2467	0.00007
Corynebacterium jeikeium K411	306537	S1	2519	0.00005	969	0.00003	9964	0.00021	1328	0.00004	1472	0.00003	411	0.00001
Corynebacterium ulcerans FRC11	1006579	S1	296	0.00001	180	0.00001	501	0.00001	332	0.00001	145	0.00000	229	0.00001
Corynebacterium ulcerans 0102	996634	S1	204	0.00000	262	0.00001	0	0.00000	298	0.00001	139	0.00000	165	0.00000
Corynebacterium ulcerans FRC58	1408268	S1	321	0.00001	0	0.00000	0	0.00000	469	0.00001	0	0.00000	160	0.00000
Corynebacterium ulcerans BR-AD22	945712	S1	119	0.00000	63	0.00000	182	0.00000	196	0.00001	0	0.00000	77	0.00000
Corynebacterium vitaeruminis DSM 20294	1224164	S1	1939	0.00004	2432	0.00007	14676	0.00032	3797	0.00011	1007	0.00002	2879	0.00009
Corynebacterium frankenforstense DSM 45800	1437875	S1	6138	0.00012	1497	0.00005	6674	0.00014	1105	0.00003	2651	0.00006	2595	0.00008
Corynebacterium marinum DSM 44953	1224162	S1	2741	0.00005	3372	0.00010	35948	0.00077	1423	0.00004	2254	0.00005	1030	0.00003
Corynebacterium halotolerans YIM 70093 = DSM 44683	1121362	S1	1319	0.00003	791	0.00002	2770	0.00006	1658	0.00005	833	0.00002	2690	0.00008
Corynebacterium variabile DSM 44702	858619	S1	3805	0.00008	1220	0.00004	2177	0.00005	5689	0.00017	964	0.00002	2156	0.00006
Corynebacterium humireducens NBRC 106098 = DSM 45392	1223515	S1	1205	0.00002	531	0.00002	2722	0.00006	691	0.00002	654	0.00001	3985	0.00012
Corynebacterium sphenisci DSM 44792	1437874	S1	3454	0.00007	986	0.00003	4385	0.00009	665	0.00002	1713	0.00004	966	0.00003
Corynebacterium falsenii DSM 44353	1451189	S1	1176	0.00002	1600	0.00005	2377	0.00005	6988	0.00021	1915	0.00004	2322	0.00007
Corynebacterium maris DSM 45190	1224163	S1	2994	0.00006	1327	0.00004	6356	0.00014	4336	0.00013	1939	0.00004	1402	0.00004
Corynebacterium urealyticum DSM 7111	1267754	S1	8201	0.00016	1996	0.00006	1952	0.00004	122	0.00000	92	0.00000	811	0.00002
Corynebacterium glutamicum R	340322	S1	626	0.00001	693	0.00002	1658	0.00004	604	0.00002	200	0.00000	364	0.00001
Corynebacterium resistens DSM 45100	662755	S1	2043	0.00004	608	0.00002	4534	0.00010	1247	0.00004	4612	0.00010	737	0.00002
Corynebacterium terpenotabidum Y-11	1200352	S1	1941	0.00004	3073	0.00009	7583	0.00016	501	0.00002	4251	0.00009	2374	0.00007
Corynebacterium deserti GIMN1.010	931089	S1	2990	0.00006	3350	0.00010	10457	0.00022	1312	0.00004	1721	0.00004	2645	0.00008
Corynebacterium glyciniphilum AJ 3170	1404245	S1	2842	0.00006	622	0.00002	9046	0.00019	1018	0.00003	1173	0.00003	5432	0.00016
Corynebacterium doosanense CAU 212 = DSM 45436	558173	S1	3509	0.00007	1899	0.00006	6827	0.00015	981	0.00003	561	0.00001	5379	0.00016
Corynebacterium genitalium ATCC 33030	585529	S1	6713	0.00013	3817	0.00012	1405	0.00003	806	0.00002	2310	0.00005	1781	0.00005
Corynebacterium aurimucosum ATCC 700975	548476	S1	1539	0.00003	1095	0.00003	2847	0.00006	2301	0.00007	935	0.00002	625	0.00002
Corynebacterium lactis RW2-5	1408189	S1	1973	0.00004	362	0.00001	1347	0.00003	2126	0.00006	1428	0.00003	836	0.00002
Corynebacterium kroppenstedtii DSM 44385	645127	S1	557	0.00001	274	0.00001	6273	0.00013	377	0.00001	1275	0.00003	1806	0.00005
Corynebacterium callunae DSM 20147	1121353	S1	1991	0.00004	982	0.00003	3049	0.00007	1825	0.00006	690	0.00001	450	0.00001
Corynebacterium casei LMG S-19264	1285583	S1	993	0.00002	764	0.00002	2200	0.00005	275	0.00001	359	0.00001	687	0.00002
Mycobacterium avium subsp. hominissuis	439334	S1	432	0.00001	554	0.00002	594	0.00001	437	0.00001	538	0.00001	663	0.00002
Mycobacterium avium subsp. paratuberculosis	1770	S1	41	0.00000	0	0.00000	121	0.00000	0	0.00000	0	0.00000	35	0.00000
Mycobacterium colombiense CECT 3035	1041522	S1	1395	0.00003	427	0.00001	742	0.00002	541	0.00002	1234	0.00003	675	0.00002
Mycobacterium intracellulare subsp. yongonense	1203599	S1	931	0.00002	591	0.00002	715	0.00002	502	0.00002	987	0.00002	750	0.00002
Mycobacterium haemophilum DSM 44634	1202450	S1	667	0.00001	2744	0.00008	765	0.00002	1709	0.00005	176	0.00000	325	0.00001
Mycobacterium marinum M	216594	S1	430	0.00001	247	0.00001	0	0.00000	465	0.00001	428	0.00001	360	0.00001
Mycobacterium canettii CIPT 140070010	1205674	S1	144	0.00000	161	0.00000	38	0.00000	279	0.00001	338	0.00001	202	0.00001
Mycobacterium canettii CIPT 140070017	1205677	S1	131	0.00000	76	0.00000	229	0.00000	167	0.00001	135	0.00000	104	0.00000
Mycobacterium canettii CIPT 140010059	1048245	S1	620	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1050	0.00003
Mycobacterium ulcerans subsp. shinshuense	1124626	S1	163	0.00000	83	0.00000	61	0.00000	195	0.00001	705	0.00002	0	0.00000
Mycobacterium liflandii 128FXT	459424	S1	280	0.00001	0	0.00000	294	0.00001	0	0.00000	0	0.00000	0	0.00000
Mycolicibacterium gilvum Spyr1	278137	S1	393	0.00001	943	0.00003	358	0.00001	246	0.00001	442	0.00001	482	0.00001
